participant,timept,ts,target_x,target_y,trial_number,gazeX_s,gazeY_s,trial_ts,occl_ts,unwrap_gaze_phase_R,unwrap_target_phase_R,phase_diff_unwrap,first_saccade
1,trial_start,272823.781652733,0.6144687658637006,-13.485718960662263,294,-0.01303688507711076,-14.806095529314103,1.9659904889995232,0,3.142473161329471,3.0960597412826982,0.046413420046772735,FALSE
1,launch,272824.2356928135,-8.371242316181062,-10.591043102358242,294,-7.155045420669349,-12.602583859085174,2.420030569541268,0.45404008054174483,3.6579570024359094,3.810457220341735,-0.15250021790582569,TRUE
1,landing,272824.263663542,-8.83068117583646,-10.21083247901906,294,-8.859510678848704,-12.253131656848911,2.4480012980056927,0.48201080900616944,3.7676152706264667,3.8546361694831917,-0.08702089885672493,TRUE
1,launch,272824.3596657375,-10.264210800551712,-8.76893925394404,294,-9.908294231087888,-11.471911886973366,2.5440034935018048,0.5780130045022815,3.8539868966645785,4.005391221675044,-0.15140432501046552,FALSE
1,landing,272824.3936581345,-10.724692343562793,-8.199349819513943,294,-11.9532737461016,-3.4899454485032093,2.5779958905186504,0.6120054015191272,4.428319341837627,4.059653295212672,0.3686660466249547,FALSE
1,launch,272824.6296713445,-12.963030446393294,-3.7686997327616893,294,-13.22770178155763,-1.2064915845234012,2.814009100489784,0.8480186114902608,4.621431190613617,4.429461315577992,0.19196987503562468,FALSE
1,landing,272824.65567255905,-13.106341508887022,-3.2351495633755336,294,-14.469563384353187,-0.02365186233472394,2.8400103150634095,0.8740198260638863,4.710754387782178,4.470388061242437,0.24036632653974088,FALSE
1,launch,272825.091658079,-12.19933037967337,5.780991300867868,294,-14.23306311353182,1.6027236178279383,3.275995835021604,1.3100053460220806,4.8245222915924115,5.154921267979402,-0.33039897638699056,FALSE
1,landing,272825.1196688825,-11.931184654792744,6.316234910202434,294,-12.351552470618916,3.488843507807198,3.304006638529245,1.3380161495297216,4.98767917996768,5.199270234349956,-0.21159105438227588,FALSE
1,launch,272825.3216882155,-9.366161629969245,9.72207013387513,294,-12.172708402300888,4.83594905095001,3.5060259714955464,1.5400354824960232,5.090546591473453,5.5164304247707445,-0.4258838332972914,FALSE
1,landing,272825.3476775325,-8.961386836705822,10.096345243972573,294,-9.911198074938687,7.200884986212335,3.5320152885396965,1.5660247995401733,5.340706063648919,5.557270585277964,-0.21656452162904483,FALSE
1,launch,272825.5276614065,-5.793977140676654,12.193373436614454,294,-9.160270799967353,8.869187870732617,3.711999162507709,1.746008673508186,5.481643695016074,5.8395948037877,-0.3579511087716263,FALSE
1,landing,272825.5576811035,-5.209341306522622,12.454117931775532,294,-3.4155359333219657,9.98283450957655,3.7420188595424406,1.7760283705429174,5.953529001583055,5.8870180552634235,0.06651094631963161,FALSE
1,trial_start,272829.06368768355,-12.437784926668002,5.2488007561640675,295,-12.158497955755989,5.077881094393177,1.4780182990944013,0,5.108009583276023,5.111719648044163,-0.0037100647681400645,FALSE
1,launch,272829.29199751397,-9.81511298366467,9.268644128039497,295,-10.158782187460028,8.337486528630903,1.7063281295122579,0.22830983041785657,5.399635280398133,5.469159680048231,-0.06952439965009827,TRUE
1,landing,272829.3336836725,-9.175490186484339,9.90220041284905,295,0.5271999311935196,9.030892100882483,1.7480142880231142,0.2699959889287129,6.341496519611058,5.5358608844115675,0.8056356351994909,TRUE
1,launch,272829.447694765,-7.272914571864556,11.373353781856224,295,1.043558512517559,9.488766436535116,1.8620253805420361,0.38400708144763485,6.392723404864021,5.714248447564311,0.6784749572997093,FALSE
1,trial_start,272832.8917114116,-13.388564143423128,1.72981774269653,296,-13.497986457566913,1.702066245787839,1.6259841166320257,0,4.837824728246137,4.840878320163238,-0.003053591917101528,FALSE
1,launch,272833.075726107,-12.336172899845835,5.483374022058101,296,-12.489515446134492,5.079609661639468,1.8099988120375201,0.18401469540549442,5.098666342915982,5.130655989262866,-0.03198964634688384,TRUE
1,landing,272833.095714582,-12.160171112330454,5.862871721224839,296,-10.874211030214534,5.691343773108162,1.829987287055701,0.20400317042367533,5.19456511218879,5.161644560894398,0.03292055129439131,TRUE
1,launch,272833.189711528,-11.166869393130998,7.585738720588722,296,-10.022776639999325,6.6915797928441805,1.9239842330571264,0.2980001164251007,5.301063277687215,5.3090919855018734,-0.008028707814658809,FALSE
1,landing,272833.213705627,-10.873881542082254,8.00006202334562,296,-6.861973405047344,7.838379789743129,1.947978332056664,0.32199421542463824,5.564110332816422,5.346683889897221,0.21742644291920055,FALSE
1,launch,272833.42770699854,-7.630996054884392,11.136234916783238,296,-5.635911000003796,8.81708682154716,2.161979703581892,0.5359955869498663,5.714437515751989,5.682434073477957,0.03200344227403207,FALSE
1,landing,272833.453729425,-7.167925563783081,11.439661470459805,296,-5.760796274485802,10.123091139498683,2.1880021300166845,0.5620180133846588,5.765815357945024,5.723446696887129,0.042368661057894386,FALSE
1,launch,272833.5637093065,-5.0836050069851995,12.505953057284689,296,-4.905820399048932,10.450801508230816,2.29798201151425,0.6719978948822245,5.8442991811345895,5.89709252576413,-0.05279334462954033,FALSE
1,landing,272833.5957330795,-4.448705623528591,12.745688818005863,296,-1.3850844914630605,12.179769697530434,2.3300057845190167,0.704021667886991,6.169951668588872,5.947369446521848,0.2225822220670235,FALSE
1,launch,272833.8477150925,0.800938479851131,13.47592805053391,296,0.4020021705512602,12.656595454504554,2.581987797515467,0.9560036808834411,6.314936900114358,6.342550225744685,-0.0276133256303277,FALSE
